input,output
Can you explain monthly based on the text?,"Promissory Note: A written promise to repay a specified amount over a speci - fied period of time. Property Appreciation: See Apprecia - tion. Purchase and Sale Agreement: A docu - ment that details the price and condi - tions for a transaction. In connection with the sale of a residential property, the agreement typically would include: information about the property to be sold, sale price, down payment, earnest money deposit, financing, closing date, occupancy date, length of time the offer is valid, and any special contingencies. Purchase Money Mortgage: A mortgage loan that enables a borrower to acquire a property. Q Qualifying Guidelines: Criteria used to determine eligibility for a loan. Glossar y 1 R Qualifying Ratios: Calculations that are used in determining the loan amount that a borrower qualifies for, typically a comparison of the borrowers total monthly income to monthly debt pay - ments and other recurring monthly obligations. Quality Control: A system of safeguards to ensure that loans are originated, un - derwritten and serviced according to the lenders standards and, if applicable, the standards of the investor, governmental agency, or mortgage insurer. Radon: A toxic gas found in the soil beneath a house that can contribute to cancer and other illnesses. Rate Cap: The limit on the amount an interest rate on an adjustable-rate mort - gage (ARM) can increase or decrease during an adjustment period."
How does the document describe recorded?,"ays after closing, the Closing Agent must also send to the AM the following: the original Note; a copy of the Mortgage with evidence that it was delivered for recording; and a copy of the recorded Mortgage, when available. (H) Canceled Closings To cancel the sales contract after ratification by HUD, the buyer or selling broker must contact the AM and complete any required cancellation documentation provided by the AM. The Closing Agent must send to the AM the signed deed and any extension fees in their possession. The AM will ensure the return of the signed deed and forfeited extension fees, if any, to HUD. The AM may offer the Property to back -up bidders before relisting the Property. IV. CLAIMS AND DISPOSITION C. Title I Claims 1. Title I Claims for Property Improvement Handbook 4000.1 1658 Last Revised : 10/31 /2023 C. TITLE I CLAIMS 1. Title I Claims for Property Improvement In order to receive insurance benefits, Lenders must comply with the claim procedures outlined below. a. Claim Filing Deadline (05/09/2022 ) A property improvement claim must be filed no later than nine months after the date of Default. The date of Default for filing a claim is 30 Days after the oldest unpaid Loan Payment . Exceptions to the claim filing deadline include: a bankruptcy filing or any other litigation related to the Loan, if initiated prior to the end of the claim filing deadline. The claim must be filed within three months of the end of the litigation; management control of the Lender"
What are the key points mentioned about interest?,"lopment; the nonprofit agency borrower will own no more than 10 percent of the Dwelling Units (regardless of financing type) in the designated redevelopment area; and the nonprofit agency borrower will have no more than eight Dwelling Units on adjacent lots. The Mortgagee must review the approved redevelopment plan to ensure that the units in which the nonprofit agency has or will have a financial interest are located within the targeted geographic area. The Mortgagee must also review public records to determi ne that the agency does not exceed the limitations on the number of units that they may own in the redevelopment area, and that they have no more than eight adjacent units. (B) Required Documentation The Mortgagee must obtain the following documentation: a copy of the redevelopment plan; and evidence that the state or local government approved the plan. The Mortgagee must submit the documentation to HUD in the case binder . iv. Application Requirements The Mortgagee must provide the Borrower with the form HUD -92700 -A, 203(k) Borrowers Acknowledgment . II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT A. Title II Insured Housing Programs Forward Mortgages 8. Programs and Products - 203(k) Rehabilitation Mortgage Insurance Program (04/18/2023) Handbook 4000.1 398 Last Revised: 10/31 /2023 v. Case Number Assignment Data Entry Requirements In order to request a case number for a 203(k) Mortgage, the Mortgagee must enter the following information: (A) 203(k) Program Type I"
What are the key points mentioned about percent?,"ncy Percentage is at least 30 percent of the total number of declared Units in the Condominium Project. (C) Exception for Existing Construction Existing Construction Condominium Projects that are greater than 12 months old, with an Owner Occupancy Percentage of at least 35 percent and less than 50 percent are eligible for approval with the following conditions: applications must be submitted for processing and review under the HRAP option; and no more than 10 percent of the total Units are Units in Arrears (does not include late fees or other administrative expenses). (D) Required Documentation Form HUD -9992 must be submitted. (E) Calculation For the sole purposes of calculating the Owner Occupancy Percentage , the numerator of the calculation for a multi -phased Condominium Project includes the total number of the following Units in the first declared Legal Phase and cumulatively in subsequent Legal Phases, or for a single -phased Condominium Project, all of the following Units in the numerator of the calculation: any Unit that is occupied by the owner as their place of abode for any portion of the calendar year and that is not rented for a majority of the calendar year; any Unit listed for sale, and not listed for rent, that was previously occupied by the owner as their place of abode for any portion of the calendar year and that is not rented for a majority of the calendar year; or any Unit sold to an owner who intends to occupy the Unit as their place of abode for any po"
What information is provided about identify?,"entation available for FHA staff completing a review: bank statements and monthly reconciliations for the last two years; proof of payment documentation for the last two years; a current financial statement and evidence of funding sources; rental payment history and evidence of funding sources; general ledger entries for the last two years; contractor licenses and qualifications records; a Marketing Plan and evidence of marketing efforts; an AHPP ; and a QC Plan and monitoring reports. c. Monitoring FHA Mortgagor Participants (03/14/2016) FHA reviews the nonprofits mortgage performance under the program. FHA will monitor foreclosure rates, Default and evidence of fraud. d. Monitoring of Secondary Financing Program Participants (03/14/2016) FHA will review second lien performance. HUD -approved Nonprofit Mortgagees must identify second liens and their performance. Additional Documentation Required for Review Upon request, the Governmental Entity or nonprofit must provide copies of fully executed Closing Disclosures or similar legal documents, and recorded secondary financing documents. V. QUALITY CONTROL, OVERSIGHT, AND COMPLIANCE D. Monitoring of Other Participants 4. Real Estate Brokers (09/30/2016) Handbook 4000.1 1723 Last Revised : 10/31 /2023 4. Real Estate Brokers (09/30/2016) HUD -Registered Real Estate Brokers will be monitored by the AM, who will report any deficiency or noncompliance issu es to HUD for further investigation and/or action that may result in deactivat"
What information is provided about Borrower?,"m the debt is owed. If the debt was identified through CAIVRS, the Lender must contact the creditor agency using the co ntact phone number and debt reference number reflected in the Borrowers CAIVRS report. If the creditor agency confirms that the debt is valid and in delinquent status as defined by the Debt Collection Improvement Act of 1996 , then the Borrower is ineligible for an FHA -insured Loan until the Borrower resolves the debt with the creditor agency. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT E. Title I Insured Programs 4. Manufactured Home Loan Program Handbook 4000.1 1021 Last Revised: 10/31 /2023 The Lender may not deny a Loan solely on the basis of CAIVRS information that has not been verified by the Lender. If resolved either by determining that the information in CAIVRS is no longer valid or by resolving the delinquent status as stated above, the Lender may continue to process the loan application. (c) Resolution In order for a Borrower with verified delinquent Federal Debt to become eligible, the Borrower must resolve their federal non -tax debt in accordance with the Debt Collection Improvement Act of 1996 . The creditor agency that is owed the debt can verify that the debt has been resolved in accordance with the Debt Collection Improvement Act. (d) Required Documentation The Lender must include documentation from the creditor agency to support the verification and resolution of the debt. For debt reported through CAIVRS , the Lender may obtain evi"
What information is provided about included?,"that the primary account holder has made all required payments on the account for the previous 12 II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT B. Title II Insured Housing Programs Reverse Mortgages 5. Performing the Financial Assessment of the Borrower Handbook 4000.1 631 Last Revised: 10/31 /2023 months. If less than three payments have been required on the account in the previous 12 months, the payment amount must be included in the Borrowers monthly expenses . Negative income must be subtracted from the Borrowers gross monthly income, and not treated as a recurring monthly liability unless otherwise noted. Loans secured against deposited funds, where repayment may be obtained through extinguishing the asset and these funds are not included in calculating the Borrowers assets, are not require d to be included in monthly expenses . (B) Required Documentation The Mortgagee must document that the funds used to pay off debts prior to closing came from an acceptable source and the Borrower did not incur new debts that were not included in the monthly expenses . (C) Undisclosed Debt and Inquiries (1) Standard When a debt or obligation is revealed during the application process that was not listed on the mortgage application and/or credit report, the Mortgagee must: verify the actual monthly payment amount; include the payment amount in the agreement in the Borrowers monthly liabilities and debt; and determine that any unsecured funds borrowed were not/will not be used for t"
How does the document describe swimming?,"n. (B) Standard 203(k) Ineligible Improvements/Repairs The 203(k) mortgage proceeds may not be used to finance costs associated with the purchase or repair of any luxury item, any improvement that does not become a permanent part of the subject Property, or improvements that solely benefit commercial functions within the Property , including: recreational or luxury improvements, such as: o swimming pools (existing swimming pools can be repaired) o an exterior hot tub, spa, whirlpool bath, or sauna o barbecue pits, outdoor fireplaces or hearths o bath houses o tennis courts o satellite dishes o tree surgery (except when eliminating an endangerment to existing improvements) o photo murals o gazebos; or additions or alterations to support commercial use or to equip or refurbish space for commercial use. (C) Standard 203(k) Establishing Repairs and Improvements The Mortgagee must select an FHA -approved 203(k) Consultant from the FHA 203(k) Consultant Roster in FHAC . The Mortgagee must not use the services of a Consultant who has demonstrated previous poor performance based on reviews performed by the Mortgagee. The Consultant must inspect the Property and prepare the Work Write -Up and Cost Estimate . II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT A. Title II Insured Housing Programs Forward Mortgages 8. Programs and Products - 203(k) Rehabilitation Mortgage Insurance Program (04/18/2023) Handbook 4000.1 401 Last Revised: 10/31 /2023 The Work Write -Up refers to the report p"
How does the document describe Absolute?,"te of a deceased person . Executrix - A woman appointed to perform the same duties as an executor . Extension Agreement - An agreement which extends the life of a mortgage to a later date . F Fee; Fee Simple; Fee Absolute - Absolute ownership of real property; a person has this type of estate where the person is entitled to the entire property with unconditional power of disposition during the persons life and descending to the persons heirs or distributees . Fiduciary - A person who on behalf of or for the benefit of another transacts business or handles money or property not the persons own; such relationship implies great confidence an d trust . Fixtures - Personal property so attached to the land or improvements as to become part of the real property . Foreclosure - A procedure whereby property pledged as security for a debt is sold to pay the debt in the event of default in payments or terms . Freehold - An interest in real estate, not less than an estate for life. (Use of this term discontinued Sept . 1, 1967 .) G Grace Period - Additional time allowed to perform an act or make a payment before a default occurs . Graduated Leases - A lease w hich provides for a graduated change at stated intervals in the amount of the rent to be paid; used largely in long -term leases . Grant - A technical term used in deeds of conveyance of lands to indicate a transfer . Grantee - The party to whom the title to real propert y is conveyed ."
What does the document say about Handbook?,"Disclosure Statement that established the index, margin, and the Change Date. III. SERVICING AND LOSS MITIGATION A. Title II Insured Housing Programs Forward Mortgages 3. Programs and Products - Assumptions (03/31/2022) Handbook 4000.1 1355 Last Revised: 10/31 /2023 b. Assumptions (03/31/2022 ) i. Assumability of FHA -Insured Mortgages All FHA -insured Mortgages are assumable. The Mortgagee must not impose, agree to, or enforce legal restrictions on conveyance s or assumptions after closing except when: specifically permitted by HUD regulations; or the restriction had been specified in a junior lien granted to the Mortgagee after settlement. The Mortgagee must review the mortgage documents to determine what restrictions have been placed on the Mortgage. ii. Notice to Homeowner The Mortgagee must send the applicable Notice to Homeowner: Release of Personal Liability to: all applicants for FHA -insured Mortgages, before settlement; and sellers or buyers who request information on HUDs creditworthiness review criteria or procedures for assumptions or releases from personal liability. iii. Fees for Assumptions The Mortgagees may charge the assuming Borrower a processing fee that is reasonable and customary, as set in Processing Fees and Other Costs for Assumptions . (A) Allowable Charges Separate from Assumption Processing Fees The Mortgagee may charge the assuming Borrower reasonable and customary fees not to exceed the actual costs for third party expenses incurred in connectio"
Can you explain mortgages based on the text?,"yment as long as the mortgagor remains eligible for subsidy under this program. Servicing of Section 235 mortgages is generally the same as that described in the previous chapters of this handbook for mortgages insured under other HUD programs, except this program has added requirements due to the assistance payments contract (Subpart C of 24 CFR 235). A. Mortgages Subject To Recapture (24 CFR, Part 235, Subpart C). Pursuant to a firm commitment issued on or after May 27, 1981, all or part of the assistance payments is subject to recapture under certain circumstances. (Recaptures and mortgagees responsibilities with respect to recaptures are discussed in detail in Chapter 11). B. Reactivation Of Section 235. The Appropriations Act of 1984 reactivated the Section 235 program in accordance with Section 226 of the Housing and Urban Rural Recovery Act (HURRA) of 1983. The provisions of the reactivated program (which is known as Section 235 Revised/Recapture/10), are discussed in Paragraph 10 -36. 10-2 CONTRACT FOR MONTHLY ASSISTANCE PAYMENTS (24 CFR 235). The terms and conditions of the assistance payment contract are contained in Subpart C of Part 235 of the HUD regulations. The issuance of the Mortgage Insurance Certificate (MIC), Form HUD -59100, to the HUD -approved mortgagee incorporates these provision s by reference to the contract between HUD and the mortgagee. III. SERVICING AND LOSS MITIGATION A. Title II Insured Housing Programs Forward Mortgages 3. Programs and Produc"
What are the key points mentioned about Programs?,"oject, including t he individual Units in the Condominium Project. The Mortgagee must verify that any policy with a coinsurance clause includes an agreed amount endorsement, selection of the agreed value option, or an amount of coverage equal to at least 100 percent of the insurable replacement cost. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT B. Title II Insured Housing Programs Reverse Mortgages 8. Programs and Products - Condominiums (04/29/2024) Handbook 4000.1 770 Last Revised: 10/31 /2023 The Mortgagee must verify that any pooled insurance policy satisfies the insurance coverage standard for each Condominium Project insured under the policy. Hazard Insurance must be maintained over the lifecycle of the HECM. (iii) Required Documentation The Mortgagee must submit form HUD -9991 , a certificate of insurance or complete copy of the insurance policy, and, if applicable, acceptable evidence of the replacement cost value. (c) Liability Insurance (i) Definition Liability Insurance refers to insurance that protects against legal claims. (ii) Standard The Mortgagee must verify that the Condominium Association maintains comprehensive Liability Insurance for the entire Condominium Project, including all common areas, elements, public ways, and all other areas that are under its supervision, in the amount of at least $1 million for each occurrence. Liability Insurance must be maintained over the lifecycle of the HECM. (iii) Required Documentation The Mortgagee must submit for"
What does the document say about Estate?,"Entity, tribe, or agency thereof. If sold, the purchaser must resell the Property for an amount not in excess of 110 percent of the NDCs. The NDCs are the total HUD -allowable costs to purchase, rehabilitate, and resell the Property. The Property may not be occupied by or resold to any of the purchaser s officers, directors, elected or appointed officials, employees, or business associates, either during their tenure or for one year thereafter, or to any individual who is related by blood, marriage, or law to any of the above. There may be no conflict of interest with individuals or firms that may provide acquisition or rehabilitation funding; management, sales or rehabilitation services; or other services associated with the Property. The Governmental Entity or HUD -approved Nonprofit must provide periodic reports, in the format and frequency specified in the HUD Home s - Individual Property File s section. Exception Discounted homes purchased through the Dollar Homes Sales to Local Governments, GNND and ACA programs are not subject to the LURA restrictions. I. DOING BUSINESS WITH FHA B. Other Participants 5. Real Estate Brokers Handbook 4000.1 116 Last Revised: 10/31 /2023 5. Real Estate Brokers a. Definition s (09/30/2016) A HUD -Registered Real Estate Broker is a real estate listing or selling broker approved by HUD to list or sell HUD Real Estate Owned (REO) Properties. A Listing Broker is a HUD -Registered Real Estate Broker who lists HUD -owned Properties for sale. A S"
What information is provided about Private?,"cent two months. Evidence of liquidation is not required . For stocks and bonds not held in a brokerage account the Mortgagee must obtain a copy of each stock or bond certificate. II. ORIGINATION THROUGH POST -CLOSING/ENDORSEMENT A. Title II Insured Housing Programs Forward Mortgages 5. Manual Underwriting of the Borrower Handbook 4000.1 341 Last Revised: 10/31 /2023 (E) Private Savings Club s (Manual) (1) Definition Private Savings Club refers to a non-traditional method of saving by making deposits into a member -managed resource pool. (2) Standard The Mortgagee may consider Private S avings Club funds that are distributed to and received by the Borrower as an acceptable source of funds. The Mortgagee must verify and document the establishment and duration of the club, and the Borrower s receipt of funds from the club. The Mortgagee must also determine that the received funds were reasonably accumulated, and not borrowed. (3) Required Documentation The Mortgagee must obtain the clubs account ledgers and receipts, and a verification from the club treasurer that the club is still active. (F) Gifts (Personal and Equity) (Manual) (1) Definition Gifts refer to the contributions of cash or equity with no expectation of repayment. (2) Standards for Gifts (a) Acceptable Sources of Gifts Funds Gifts may be provided by : the Borrower s Family Member ; the Borrower s employer or labor union ; a close friend with a clearly defined and documented interest in the Borrower ; a charitable"
